Company,Date,high_mean,low_mean,adj_close_mean,volume_mean
NKE,2021-06-07,135.199997,133.449997,129.920868,3765000.0
NKE,2021-06-08,134.720001,132.410004,129.338974,4915200.0
NKE,2021-06-09,134.899994,131.449997,127.874352,6448100.0
NKE,2021-06-10,132.570007,130.190002,127.040222,6584100.0
NKE,2021-06-11,131.990005,130.529999,127.971367,5414500.0
NKE,2021-06-14,132.050003,130.130005,127.408821,5743600.0
NKE,2021-06-15,131.75,129.830002,126.371002,5168100.0
NKE,2021-06-16,131.169998,129.600006,126.477684,7915500.0
NKE,2021-06-17,129.880005,127.860001,125.042191,8568100.0
NKE,2021-06-18,129.029999,126.68,124.547539,9784800.0
NKE,2021-06-21,130.759995,128.699997,126.167313,6288500.0
NKE,2021-06-22,132.690002,130.130005,128.495117,6043800.0
NKE,2021-06-23,133.699997,132.210007,129.096481,4566000.0
NKE,2021-06-24,134.820007,132.899994,129.581436,11420500.0
NKE,2021-06-25,154.589996,150.479996,149.707306,46285400.0
NKE,2021-06-28,154.050003,151.509995,147.777145,13133300.0
NKE,2021-06-29,156.399994,152.910004,151.259155,10279900.0
NKE,2021-06-30,155.339996,153.520004,149.843063,10281800.0
NKE,2021-07-01,158.210007,153.889999,153.247498,9011500.0
NKE,2021-07-02,159.970001,157.639999,154.935165,6396700.0
NKE,2021-07-06,160.440002,157.860001,155.294037,6671000.0
NKE,2021-07-07,161.5,158.279999,155.342514,5408300.0
NKE,2021-07-08,160.820007,157.350006,155.798386,6081600.0
NKE,2021-07-09,161.960007,160.509995,156.157257,5002300.0
NKE,2021-07-12,162.429993,160.710007,156.952606,4992200.0
NKE,2021-07-13,162.309998,161.009995,156.729507,5747700.0
NKE,2021-07-14,162.729996,161.339996,156.68103,4928000.0
NKE,2021-07-15,162.199997,160.389999,156.826523,6432500.0
NKE,2021-07-16,161.699997,159.639999,155.041855,6603700.0
NKE,2021-07-19,158.820007,156.600006,153.121414,7377100.0
NKE,2021-07-20,160.429993,156.580002,154.935165,4629200.0
NKE,2021-07-21,161.429993,160.009995,156.234863,5393100.0
NKE,2021-07-22,163.75,160.929993,158.756653,4851500.0
NKE,2021-07-23,166.449997,163.729996,161.356049,4217700.0
NKE,2021-07-26,166.529999,163.820007,160.124237,3858800.0
NKE,2021-07-27,165.610001,162.580002,159.619904,4359000.0
NKE,2021-07-28,165.899994,164.080002,160.483109,4093600.0
NKE,2021-07-29,167.029999,165.389999,161.967102,3605600.0
NKE,2021-07-30,167.869995,166.350006,162.471451,5364400.0
NKE,2021-08-02,169.979996,168.029999,163.674133,5532500.0
NKE,2021-08-03,171.5,168.490005,166.079559,5718100.0
NKE,2021-08-04,172.339996,170.960007,166.739105,4646200.0
NKE,2021-08-05,174.0,171.179993,168.620758,3824000.0
NKE,2021-08-06,174.380005,172.699997,167.602325,4088700.0
NKE,2021-08-09,173.059998,171.619995,166.603333,3612800.0
NKE,2021-08-10,173.960007,171.429993,167.088272,3747100.0
NKE,2021-08-11,173.220001,170.940002,166.118347,4078300.0
NKE,2021-08-12,171.320007,169.479996,165.507294,3997100.0
NKE,2021-08-13,171.720001,168.779999,166.525726,2966200.0
NKE,2021-08-16,172.399994,169.660004,167.175537,3530200.0
NKE,2021-08-17,171.699997,169.380005,165.526688,3602900.0
NKE,2021-08-18,171.800003,168.660004,163.732346,5487400.0
NKE,2021-08-19,167.539993,164.369995,160.609207,7336300.0
NKE,2021-08-20,168.009995,165.419998,162.743011,4039100.0
NKE,2021-08-23,170.899994,169.179993,164.614975,3796500.0
NKE,2021-08-24,170.869995,168.889999,164.867157,3133100.0
NKE,2021-08-25,170.690002,169.529999,164.731339,3003800.0
NKE,2021-08-26,169.520004,166.270004,161.8992,4069600.0
NKE,2021-08-27,168.070007,166.279999,162.807571,3012400.0
NKE,2021-08-30,168.410004,166.570007,163.244736,3537100.0
NKE,2021-08-31,167.679993,164.199997,160.048447,7545600.0
NKE,2021-09-01,166.619995,164.080002,159.873581,4706500.0
